ano,unidade,nome_unidade_norm,demanda_efetiva_prevista,demanda_cenario_persistencia,demanda_p025_condicional,demanda_p975_condicional,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_2025_proxy_capacidade,rede,capacity_concept,capacity_coverage,planning_gap,planning_gap_p025,planning_gap_p975,planning_gap_persistencia,gap_positivo
2026,0724804,EDI PROFESSORA MATILDE ROSA LOPES DE ARAUJO,215.4580801917052,221.2936754127444,126.76260304460035,326.9383037716439,continuante,Pública,EDI,7.0,7.22,Itanhangá,-22.988367,-43.322451,40.0,publica,matriculas_2025_proxy,True,175.4580801917052,86.76260304460035,286.9383037716439,181.2936754127444,True
2026,07015,CP CRECHE CANTINHO FELIZ II,215.02956207029723,242.51632123165504,120.67434385651164,332.8058045466247,continuante,Parceira,Creche Parceira,7.0,7.25,VARGEM GRANDE,-22.98393,-43.49695,216.0,parceira,matriculas_2025_proxy,True,-0.9704379297027685,-95.32565614348836,116.8058045466247,26.51632123165504,False
2026,03006,CP CRECHE CASA VIVA,214.0775137963149,216.53086991114225,120.13483321294626,331.23139122978387,continuante,Parceira,Creche Parceira,3.0,3.1,ENGENHO DE DENTRO,-22.89574292,-43.29739802,82.0,parceira,matriculas_2025_proxy,True,132.0775137963149,38.13483321294626,249.23139122978387,134.53086991114225,True
2026,0514602,CM JECIA DE FREITAS FERREIRA,213.86688270964865,189.2237208967647,124.47286057517816,325.90052137536816,continuante,Pública,Creche,5.0,5.3,Irajá,-22.831074,-43.327411,94.0,publica,matriculas_2025_proxy,True,119.86688270964865,30.47286057517816,231.90052137536816,95.22372089676469,True
2026,07038,CP CAAD UNIVERSO DAS FLORES,212.41490957681592,180.68436410988943,117.96009551411906,331.1307821608541,continuante,Parceira,Creche Parceira,7.0,7.1,VILA VALQUEIRE,-22.88771,-43.36412,153.0,parceira,matriculas_2025_proxy,True,59.414909576815916,-35.03990448588094,178.1307821608541,27.68436410988943,True
2026,08010,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL III,211.62256936700263,181.3677677883024,125.06382201821766,320.03650491029106,continuante,Parceira,Creche Parceira,8.0,8.5,REALENGO,-22.88308324,-43.43710919,51.0,parceira,matriculas_2025_proxy,True,160.62256936700263,74.06382201821766,269.03650491029106,130.3677677883024,True
2026,07042,CP INSTITUTO EDUCACIONAL DIVA ALVES II,210.3518142330348,166.66549061928967,123.4903561876273,318.9925414666518,continuante,Parceira,Creche Parceira,7.0,7.22,JACAREPAGUÁ,-22.95334,-43.37915,129.0,parceira,matriculas_2025_proxy,True,81.35181423303479,-5.509643812372701,189.9925414666518,37.66549061928967,True
2026,06003,CP CRECHE NOSSO LAR,208.62432239789013,177.43499740949153,122.02199505542794,317.3349157839106,continuante,Parceira,Creche Parceira,6.0,6.12,ANCHIETA,-22.82355,-43.40247,101.0,parceira,matriculas_2025_proxy,True,107.62432239789013,21.021995055427936,216.33491578391062,76.43499740949153,True
2026,01010,CP CENTRO CULTURAL MONTESSORI - SAO CRISTOVAO,207.40366796374667,193.6935198847008,118.31713410632776,319.243556574228,continuante,Parceira,Creche Parceira,1.0,1.2,SÃO CRISTÓVÃO,-22.89682824,-43.23647362,296.0,parceira,matriculas_2025_proxy,True,-88.59633203625333,-177.68286589367224,23.243556574228023,-102.3064801152992,False
2026,07027,CP CRECHE MUNDO MAGICO I,206.79420433428115,152.3369972533325,121.9572925956264,312.93084646636686,continuante,Parceira,Creche Parceira,7.0,7.24,ITANHANGÁ,-22.93257,-43.37475,171.0,parceira,matriculas_2025_proxy,True,35.79420433428115,-49.0427074043736,141.93084646636686,-18.6630027466675,True
2026,0918835,EDI MEDALHISTA OLIMPICO ARTHUR NORY OYAKAWA MARIANO,206.48630031400972,175.03120954848535,122.3903976896012,311.754510713893,continuante,Pública,EDI,9.0,9.1,Campo Grande,-22.90624,-43.588702,97.0,publica,matriculas_2025_proxy,True,109.48630031400972,25.3903976896012,214.754510713893,78.03120954848535,True
2026,07020,CP JARDIM ESCOLA CRESCENDO E APRENDENDO,204.93761431275124,166.78541427400245,119.852523806179,311.5142235570099,continuante,Parceira,Creche Parceira,7.0,7.17,JACAREPAGUÁ,-22.95829,-43.35315,77.0,parceira,matriculas_2025_proxy,True,127.93761431275124,42.85252380617899,234.51422355700993,89.78541427400245,True
