ano,unidade,grupamento_norm,model,fold,sample,sample_segment,demanda_prevista,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept,capacity_coverage,planning_gap,gap_positivo
2024,0107603,BERCARIO,conditional_logit_distance,oos_2024,oos,all,78.67914075713134,2023.0,CM VOVÓ LUCÍOLA,23.0,publica,matriculas_ano_anterior_proxy,True,55.679140757131336,True
2024,0107603,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,32.09141601262088,2023.0,CM VOVÓ LUCÍOLA,27.0,publica,matriculas_ano_anterior_proxy,True,5.091416012620883,True
2024,0107603,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,15.830572252425172,2023.0,CM VOVÓ LUCÍOLA,0.0,publica,matriculas_ano_anterior_proxy,True,15.830572252425172,True
2024,0107604,BERCARIO,conditional_logit_distance,oos_2024,oos,all,89.9468383529934,2023.0,CM HOMERO JOSÉ DOS SANTOS,50.0,publica,matriculas_ano_anterior_proxy,True,39.946838352993396,True
2024,0107604,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,36.253604155312416,2023.0,CM HOMERO JOSÉ DOS SANTOS,46.0,publica,matriculas_ano_anterior_proxy,True,-9.746395844687584,False
2024,0107604,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,17.25836131598144,2023.0,CM HOMERO JOSÉ DOS SANTOS,0.0,publica,matriculas_ano_anterior_proxy,True,17.25836131598144,True
2024,0107605,BERCARIO,conditional_logit_distance,oos_2024,oos,all,87.92059578917006,2023.0,CM EDUARDO MOREIRA DOS SANTOS,25.0,publica,matriculas_ano_anterior_proxy,True,62.920595789170065,True
2024,0107605,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,36.47689626837525,2023.0,CM EDUARDO MOREIRA DOS SANTOS,21.0,publica,matriculas_ano_anterior_proxy,True,15.47689626837525,True
2024,0107605,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,17.183608448509037,2023.0,CM EDUARDO MOREIRA DOS SANTOS,0.0,publica,matriculas_ano_anterior_proxy,True,17.183608448509037,True
2024,0107606,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,38.404580980263695,2023.0,CM FRANCISCO ALVES,0.0,publica,matriculas_ano_anterior_proxy,True,38.404580980263695,True
2024,0107606,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,18.177364082357556,2023.0,CM FRANCISCO ALVES,71.0,publica,matriculas_ano_anterior_proxy,True,-52.822635917642444,False
2024,0107607,BERCARIO,conditional_logit_distance,oos_2024,oos,all,76.1129468966743,2023.0,CM NAÇÃO MANGUEIRENSE,50.0,publica,matriculas_ano_anterior_proxy,True,26.112946896674302,True
2024,0107607,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,30.416845752305896,2023.0,CM NAÇÃO MANGUEIRENSE,49.0,publica,matriculas_ano_anterior_proxy,True,-18.583154247694104,False
2024,0107607,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.910014017214422,2023.0,CM NAÇÃO MANGUEIRENSE,0.0,publica,matriculas_ano_anterior_proxy,True,14.910014017214422,True
2024,0107608,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,34.38179814987524,2023.0,CM SAMORA MACHEL,50.0,publica,matriculas_ano_anterior_proxy,True,-15.618201850124763,False
2024,0107608,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,18.37167026669281,2023.0,CM SAMORA MACHEL,0.0,publica,matriculas_ano_anterior_proxy,True,18.37167026669281,True
2024,0107609,BERCARIO,conditional_logit_distance,oos_2024,oos,all,64.240258219952,2023.0,CM VASQUINHO,44.0,publica,matriculas_ano_anterior_proxy,True,20.240258219951997,True
2024,0107609,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,30.410036213769427,2023.0,CM VASQUINHO,0.0,publica,matriculas_ano_anterior_proxy,True,30.410036213769427,True
2024,0107609,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,14.051069652424005,2023.0,CM VASQUINHO,62.0,publica,matriculas_ano_anterior_proxy,True,-47.948930347575995,False
2024,0107610,BERCARIO,conditional_logit_distance,oos_2024,oos,all,107.50227148466156,2023.0,CM ARARA AZUL,51.0,publica,matriculas_ano_anterior_proxy,True,56.50227148466156,True
2024,0107610,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,49.61639275152279,2023.0,CM ARARA AZUL,49.0,publica,matriculas_ano_anterior_proxy,True,0.6163927515227883,True
2024,0107610,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,25.34398852276128,2023.0,CM ARARA AZUL,0.0,publica,matriculas_ano_anterior_proxy,True,25.34398852276128,True
2024,0107801,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,19.42524167441345,2023.0,EDI PROFESSORA DAYSE MALAGOLE,0.0,publica,matriculas_ano_anterior_proxy,True,19.42524167441345,True
2024,0107802,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,18.139172122463773,2023.0,EDI MORRO DOS TELÉGRAFOS,0.0,publica,matriculas_ano_anterior_proxy,True,18.139172122463773,True
2024,0107803,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,23.06154210207796,2023.0,EDI DOIS DE JULHO,0.0,publica,matriculas_ano_anterior_proxy,True,23.06154210207796,True
2024,0121001,BERCARIO,conditional_logit_distance,oos_2024,oos,all,1.376874745288507,2023.0,EM JOAQUIM MANUEL DE MACEDO,21.0,publica,matriculas_ano_anterior_proxy,True,-19.623125254711493,False
2024,0121001,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,0.7706166365975341,2023.0,EM JOAQUIM MANUEL DE MACEDO,21.0,publica,matriculas_ano_anterior_proxy,True,-20.229383363402466,False
2024,0121001,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,0.3961296956405852,2023.0,EM JOAQUIM MANUEL DE MACEDO,0.0,publica,matriculas_ano_anterior_proxy,True,0.3961296956405852,True
2024,0123601,BERCARIO,conditional_logit_distance,oos_2024,oos,all,44.59617376056481,2023.0,CM JOSÉ MARINHO DE OLIVEIRA,49.0,publica,matriculas_ano_anterior_proxy,True,-4.40382623943519,False
2024,0123601,MATERNAL I,conditional_logit_distance,oos_2024,oos,all,18.603215989648,2023.0,CM JOSÉ MARINHO DE OLIVEIRA,35.0,publica,matriculas_ano_anterior_proxy,True,-16.396784010352,False
2024,0123601,MATERNAL II,conditional_logit_distance,oos_2024,oos,all,8.221709634554347,2023.0,CM JOSÉ MARINHO DE OLIVEIRA,0.0,publica,matriculas_ano_anterior_proxy,True,8.221709634554347,True
2024,0123603,BERCARIO,conditional_logit_distance,oos_2024,oos,all,55.4990367378629,2023.0,CM FALLET,25.0,publica,matriculas_ano_anterior_proxy,True,30.4990367378629,True
