ano,unidade,grupamento_norm,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept
2024,0107009,MATERNAL I,2023,EM URUGUAI,0,publica,matriculas_ano_anterior_proxy
2024,0107009,MATERNAL II,2023,EM URUGUAI,0,publica,matriculas_ano_anterior_proxy
2024,0107011,BERCARIO,2023,EM CARDEAL LEME,0,publica,matriculas_ano_anterior_proxy
2024,0107011,MATERNAL I,2023,EM CARDEAL LEME,0,publica,matriculas_ano_anterior_proxy
2024,0107011,MATERNAL II,2023,EM CARDEAL LEME,0,publica,matriculas_ano_anterior_proxy
2024,0107012,BERCARIO,2023,EM GONZAGA DA GAMA FILHO,0,publica,matriculas_ano_anterior_proxy
2024,0107012,MATERNAL I,2023,EM GONZAGA DA GAMA FILHO,0,publica,matriculas_ano_anterior_proxy
2024,0107012,MATERNAL II,2023,EM GONZAGA DA GAMA FILHO,0,publica,matriculas_ano_anterior_proxy
2024,0107013,BERCARIO,2023,EM ALICE DO AMARAL PEIXOTO,0,publica,matriculas_ano_anterior_proxy
2024,0107013,MATERNAL I,2023,EM ALICE DO AMARAL PEIXOTO,0,publica,matriculas_ano_anterior_proxy
2024,0107013,MATERNAL II,2023,EM ALICE DO AMARAL PEIXOTO,0,publica,matriculas_ano_anterior_proxy
2024,0107016,BERCARIO,2023,EM JOSUE DE SOUSA MONTELLO,0,publica,matriculas_ano_anterior_proxy
2024,0107016,MATERNAL I,2023,EM JOSUE DE SOUSA MONTELLO,0,publica,matriculas_ano_anterior_proxy
2024,0107016,MATERNAL II,2023,EM JOSUE DE SOUSA MONTELLO,0,publica,matriculas_ano_anterior_proxy
2024,0107017,BERCARIO,2023,EM NEUMA GONÇALVES DA SILVA - DONA NEUMA,0,publica,matriculas_ano_anterior_proxy
2024,0107017,MATERNAL I,2023,EM NEUMA GONÇALVES DA SILVA - DONA NEUMA,0,publica,matriculas_ano_anterior_proxy
2024,0107017,MATERNAL II,2023,EM NEUMA GONÇALVES DA SILVA - DONA NEUMA,0,publica,matriculas_ano_anterior_proxy
2024,0107501,BERCARIO,2023,EM EDMUNDO BITTENCOURT,0,publica,matriculas_ano_anterior_proxy
2024,0107501,MATERNAL I,2023,EM EDMUNDO BITTENCOURT,0,publica,matriculas_ano_anterior_proxy
2024,0107501,MATERNAL II,2023,EM EDMUNDO BITTENCOURT,0,publica,matriculas_ano_anterior_proxy
2024,0107502,BERCARIO,2023,EM MESTRE WALDEMIRO,0,publica,matriculas_ano_anterior_proxy
