ano,unidade,grupamento_norm,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept
2024,0101001,MATERNAL II,2023,EM VICENTE LICINIO CARDOSO,0,publica,matriculas_ano_anterior_proxy
2024,0101003,BERCARIO,2023,EM DARCY VARGAS,0,publica,matriculas_ano_anterior_proxy
2024,0101003,MATERNAL I,2023,EM DARCY VARGAS,0,publica,matriculas_ano_anterior_proxy
2024,0101003,MATERNAL II,2023,EM DARCY VARGAS,0,publica,matriculas_ano_anterior_proxy
2024,0101004,BERCARIO,2023,EM BENJAMIM CONSTANT,0,publica,matriculas_ano_anterior_proxy
2024,0101004,MATERNAL I,2023,EM BENJAMIM CONSTANT,0,publica,matriculas_ano_anterior_proxy
2024,0101004,MATERNAL II,2023,EM BENJAMIM CONSTANT,0,publica,matriculas_ano_anterior_proxy
2024,0101005,BERCARIO,2023,EM GENERAL MITRE,0,publica,matriculas_ano_anterior_proxy
2024,0101005,MATERNAL I,2023,EM GENERAL MITRE,0,publica,matriculas_ano_anterior_proxy
2024,0101005,MATERNAL II,2023,EM GENERAL MITRE,0,publica,matriculas_ano_anterior_proxy
2024,0101006,BERCARIO,2023,EM FRANCISCO BENJAMIN GALLOTTI,0,publica,matriculas_ano_anterior_proxy
2024,0101006,MATERNAL I,2023,EM FRANCISCO BENJAMIN GALLOTTI,0,publica,matriculas_ano_anterior_proxy
2024,0101006,MATERNAL II,2023,EM FRANCISCO BENJAMIN GALLOTTI,0,publica,matriculas_ano_anterior_proxy
2024,0101007,BERCARIO,2023,EM MARECHAL MASCARENHAS DE MORAES,0,publica,matriculas_ano_anterior_proxy
2024,0101007,MATERNAL I,2023,EM MARECHAL MASCARENHAS DE MORAES,0,publica,matriculas_ano_anterior_proxy
2024,0101007,MATERNAL II,2023,EM MARECHAL MASCARENHAS DE MORAES,0,publica,matriculas_ano_anterior_proxy
2024,0101008,BERCARIO,2023,EM MARECHAL ESPERIDIÃO ROSAS,0,publica,matriculas_ano_anterior_proxy
2024,0101008,MATERNAL I,2023,EM MARECHAL ESPERIDIÃO ROSAS,0,publica,matriculas_ano_anterior_proxy
2024,0101008,MATERNAL II,2023,EM MARECHAL ESPERIDIÃO ROSAS,0,publica,matriculas_ano_anterior_proxy
2024,0101009,BERCARIO,2023,EM PROFESSOR WALTER CARLOS DE MAGALHÃES FRAENKEL,0,publica,matriculas_ano_anterior_proxy
2024,0101009,MATERNAL I,2023,EM PROFESSOR WALTER CARLOS DE MAGALHÃES FRAENKEL,0,publica,matriculas_ano_anterior_proxy
2024,0101009,MATERNAL II,2023,EM PROFESSOR WALTER CARLOS DE MAGALHÃES FRAENKEL,0,publica,matriculas_ano_anterior_proxy
2024,0101011,BERCARIO,2023,EM FELIX MIELLI VENERANDO,0,publica,matriculas_ano_anterior_proxy
2024,0101011,MATERNAL I,2023,EM FELIX MIELLI VENERANDO,0,publica,matriculas_ano_anterior_proxy
2024,0101011,MATERNAL II,2023,EM FELIX MIELLI VENERANDO,0,publica,matriculas_ano_anterior_proxy
2024,0101012,BERCARIO,2023,EM PROFESSORA LAURA SYLVIA MENDES PEREIRA,0,publica,matriculas_ano_anterior_proxy
2024,0101012,MATERNAL I,2023,EM PROFESSORA LAURA SYLVIA MENDES PEREIRA,0,publica,matriculas_ano_anterior_proxy
2024,0101012,MATERNAL II,2023,EM PROFESSORA LAURA SYLVIA MENDES PEREIRA,0,publica,matriculas_ano_anterior_proxy
2024,0101501,BERCARIO,2023,CIEP HENFIL,0,publica,matriculas_ano_anterior_proxy
2024,0101501,MATERNAL I,2023,CIEP HENFIL,0,publica,matriculas_ano_anterior_proxy
2024,0101501,MATERNAL II,2023,CIEP HENFIL,0,publica,matriculas_ano_anterior_proxy
2024,0101601,BERCARIO,2023,CM LADEIRA DOS FUNCIONÁRIOS,0,publica,matriculas_ano_anterior_proxy
2024,0101601,MATERNAL I,2023,CM LADEIRA DOS FUNCIONÁRIOS,0,publica,matriculas_ano_anterior_proxy
2024,0101601,MATERNAL II,2023,CM LADEIRA DOS FUNCIONÁRIOS,18,publica,matriculas_ano_anterior_proxy
2024,0101602,BERCARIO,2023,CM VIRGÍNIA LEMOS,0,publica,matriculas_ano_anterior_proxy
2024,0101602,MATERNAL I,2023,CM VIRGÍNIA LEMOS,31,publica,matriculas_ano_anterior_proxy
2024,0101602,MATERNAL II,2023,CM VIRGÍNIA LEMOS,0,publica,matriculas_ano_anterior_proxy
2024,0101603,BERCARIO,2023,CM SENNINHA,25,publica,matriculas_ano_anterior_proxy
2024,0101603,MATERNAL I,2023,CM SENNINHA,22,publica,matriculas_ano_anterior_proxy
2024,0101603,MATERNAL II,2023,CM SENNINHA,0,publica,matriculas_ano_anterior_proxy
2024,0101604,BERCARIO,2023,CM SEMPRE VIDA P. CONQUISTA,0,publica,matriculas_ano_anterior_proxy
2024,0101604,MATERNAL I,2023,CM SEMPRE VIDA P. CONQUISTA,0,publica,matriculas_ano_anterior_proxy
2024,0101604,MATERNAL II,2023,CM SEMPRE VIDA P. CONQUISTA,40,publica,matriculas_ano_anterior_proxy
2024,0101605,BERCARIO,2023,CM CLEMENTE FERREIRA,44,publica,matriculas_ano_anterior_proxy
2024,0101605,MATERNAL I,2023,CM CLEMENTE FERREIRA,0,publica,matriculas_ano_anterior_proxy
2024,0101605,MATERNAL II,2023,CM CLEMENTE FERREIRA,41,publica,matriculas_ano_anterior_proxy
2024,0101606,BERCARIO,2023,CM QUINTA DO CAJU,33,publica,matriculas_ano_anterior_proxy
2024,0101606,MATERNAL I,2023,CM QUINTA DO CAJU,0,publica,matriculas_ano_anterior_proxy
2024,0101606,MATERNAL II,2023,CM QUINTA DO CAJU,34,publica,matriculas_ano_anterior_proxy
2024,0101607,BERCARIO,2023,CM TIA DORA,50,publica,matriculas_ano_anterior_proxy
2024,0101607,MATERNAL I,2023,CM TIA DORA,42,publica,matriculas_ano_anterior_proxy
2024,0101607,MATERNAL II,2023,CM TIA DORA,0,publica,matriculas_ano_anterior_proxy
2024,0101801,BERCARIO,2023,EDI PARQUE DA ALEGRIA,50,publica,matriculas_ano_anterior_proxy
2024,0101801,MATERNAL I,2023,EDI PARQUE DA ALEGRIA,0,publica,matriculas_ano_anterior_proxy
2024,0101801,MATERNAL II,2023,EDI PARQUE DA ALEGRIA,91,publica,matriculas_ano_anterior_proxy
2024,0101802,BERCARIO,2023,EDI MACHADO DE ASSIS,23,publica,matriculas_ano_anterior_proxy
2024,0101802,MATERNAL I,2023,EDI MACHADO DE ASSIS,48,publica,matriculas_ano_anterior_proxy
2024,0101802,MATERNAL II,2023,EDI MACHADO DE ASSIS,0,publica,matriculas_ano_anterior_proxy
2024,0101803,BERCARIO,2023,EDI ANTÔNIO RAPOSO TAVARES,0,publica,matriculas_ano_anterior_proxy
2024,0101803,MATERNAL I,2023,EDI ANTÔNIO RAPOSO TAVARES,0,publica,matriculas_ano_anterior_proxy
2024,0101803,MATERNAL II,2023,EDI ANTÔNIO RAPOSO TAVARES,0,publica,matriculas_ano_anterior_proxy
2024,0102001,BERCARIO,2023,EM CELESTINO DA SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0102001,MATERNAL I,2023,EM CELESTINO DA SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0102001,MATERNAL II,2023,EM CELESTINO DA SILVA,0,publica,matriculas_ano_anterior_proxy
2024,0102002,BERCARIO,2023,EM TIRADENTES,0,publica,matriculas_ano_anterior_proxy
2024,0102002,MATERNAL I,2023,EM TIRADENTES,0,publica,matriculas_ano_anterior_proxy
2024,0102002,MATERNAL II,2023,EM TIRADENTES,0,publica,matriculas_ano_anterior_proxy
2024,0102004,BERCARIO,2023,EM RIVADAVIA CORRÊA,0,publica,matriculas_ano_anterior_proxy
2024,0102004,MATERNAL I,2023,EM RIVADAVIA CORRÊA,0,publica,matriculas_ano_anterior_proxy
2024,0102004,MATERNAL II,2023,EM RIVADAVIA CORRÊA,0,publica,matriculas_ano_anterior_proxy
2024,0102005,BERCARIO,2023,EM CALOUSTE GULBENKIAN,0,publica,matriculas_ano_anterior_proxy
2024,0102005,MATERNAL I,2023,EM CALOUSTE GULBENKIAN,0,publica,matriculas_ano_anterior_proxy
2024,0102005,MATERNAL II,2023,EM CALOUSTE GULBENKIAN,0,publica,matriculas_ano_anterior_proxy
2024,0102006,BERCARIO,2023,EM GUATEMALA,0,publica,matriculas_ano_anterior_proxy
2024,0102006,MATERNAL I,2023,EM GUATEMALA,0,publica,matriculas_ano_anterior_proxy
2024,0102006,MATERNAL II,2023,EM GUATEMALA,0,publica,matriculas_ano_anterior_proxy
2024,0102007,BERCARIO,2023,EM ORLANDO VILLAS BOAS,0,publica,matriculas_ano_anterior_proxy
2024,0102007,MATERNAL I,2023,EM ORLANDO VILLAS BOAS,0,publica,matriculas_ano_anterior_proxy
2024,0102007,MATERNAL II,2023,EM ORLANDO VILLAS BOAS,0,publica,matriculas_ano_anterior_proxy
2024,0102501,BERCARIO,2023,EM TIA CIATA,0,publica,matriculas_ano_anterior_proxy
2024,0102501,MATERNAL I,2023,EM TIA CIATA,0,publica,matriculas_ano_anterior_proxy
2024,0102501,MATERNAL II,2023,EM TIA CIATA,0,publica,matriculas_ano_anterior_proxy
2024,0102502,BERCARIO,2023,CIEP AVENIDA DOS DESFILES I,0,publica,matriculas_ano_anterior_proxy
2024,0102502,MATERNAL I,2023,CIEP AVENIDA DOS DESFILES I,0,publica,matriculas_ano_anterior_proxy
2024,0102502,MATERNAL II,2023,CIEP AVENIDA DOS DESFILES I,0,publica,matriculas_ano_anterior_proxy
2024,0102503,BERCARIO,2023,CIEP AVENIDA DOS DESFILES II,0,publica,matriculas_ano_anterior_proxy
2024,0102503,MATERNAL I,2023,CIEP AVENIDA DOS DESFILES II,0,publica,matriculas_ano_anterior_proxy
