ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii
2021,ILHA GUARATIBA,Bercario,0,0.0,0,0,0,0
2021,ILHA GUARATIBA,Maternal I,0,0.0,0,0,0,0
2021,ILHA GUARATIBA,Maternal II,0,0.0,0,0,0,0
2021,INHAUMA,Bercario,281,1628.0,0,0,0,0
2021,INHAUMA,Maternal I,201,841.0,0,0,0,0
2021,INHAUMA,Maternal II,158,691.0,0,0,0,0
2021,INHOAIBA,Bercario,475,1849.0,0,0,0,0
2021,INHOAIBA,Maternal I,496,1028.0,0,0,0,0
2021,INHOAIBA,Maternal II,339,1044.0,0,0,0,0
2021,IPANEMA,Bercario,10,529.0,0,0,0,0
2021,IPANEMA,Maternal I,3,313.0,0,0,0,0
2021,IPANEMA,Maternal II,2,292.0,0,0,0,0
2021,IRAJA,Bercario,243,1770.0,0,0,0,0
2021,IRAJA,Maternal I,237,1006.0,0,0,0,0
2021,IRAJA,Maternal II,219,1002.0,0,0,0,0
2021,ITANHANGA,Bercario,249,1472.0,0,0,0,0
2021,ITANHANGA,Maternal I,266,841.0,0,0,0,0
2021,ITANHANGA,Maternal II,258,939.0,0,0,0,0
2021,JABOUR,Bercario,0,0.0,0,0,0,0
2021,JABOUR,Maternal I,0,0.0,0,0,0,0
2021,JABOUR,Maternal II,0,0.0,0,0,0,0
2021,JACARE,Bercario,185,581.0,0,0,0,0
2021,JACARE,Maternal I,123,155.0,0,0,0,0
2021,JACARE,Maternal II,74,336.0,0,0,0,0
2021,JACAREPAGUA,Bercario,601,4654.0,0,0,0,0
2021,JACAREPAGUA,Maternal I,535,2666.0,0,0,0,0
2021,JACAREPAGUA,Maternal II,485,2811.0,0,0,0,0
2021,JACAREZINHO,Bercario,24,482.0,0,0,0,0
2021,JACAREZINHO,Maternal I,14,414.0,0,0,0,0
2021,JACAREZINHO,Maternal II,11,266.0,0,0,0,0
2021,JARDIM AMERICA,Bercario,146,737.0,0,0,0,0
2021,JARDIM AMERICA,Maternal I,99,444.0,0,0,0,0
2021,JARDIM AMERICA,Maternal II,114,396.0,0,0,0,0
2021,JARDIM BOTANICO,Bercario,9,262.0,0,0,0,0
2021,JARDIM BOTANICO,Maternal I,4,171.0,0,0,0,0
2021,JARDIM BOTANICO,Maternal II,0,184.0,0,0,0,0
2021,JARDIM CARIOCA,Bercario,45,463.0,0,0,0,0
2021,JARDIM CARIOCA,Maternal I,37,234.0,0,0,0,0
2021,JARDIM CARIOCA,Maternal II,15,270.0,0,0,0,0
2021,JARDIM GUANABARA,Bercario,8,384.0,0,0,0,0
2021,JARDIM GUANABARA,Maternal I,4,212.0,0,0,0,0
