ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,ano_caged_lag1,caged_taxa_lag1,caged_estoque_dez_lag1,previsto,taxa_anterior,prev_persistencia,modelo
2026,BONSUCESSO,Bercario,0,658.0,5,5,0,0,2025,0.019417862207853187,2125526,208.33239742276115,0.5667655786350149,372.9317507418398,PPML-FE base replicado
2026,BONSUCESSO,Maternal I,0,397.0,5,0,5,0,2025,0.019417862207853187,2125526,189.09232301102892,0.3436657681940701,136.43530997304583,PPML-FE base replicado
2026,BONSUCESSO,Maternal II,0,742.0,5,0,0,5,2025,0.019417862207853187,2125526,171.611452470043,0.261986301369863,194.39383561643834,PPML-FE base replicado
2026,BOTAFOGO,Bercario,0,1069.0,5,5,0,0,2025,0.019417862207853187,2125526,100.220305448609,0.10664172123479888,114.0,PPML-FE base replicado
2026,BOTAFOGO,Maternal I,0,528.0,5,0,5,0,2025,0.019417862207853187,2125526,74.46709494833708,0.13932980599647266,73.56613756613756,PPML-FE base replicado
2026,BOTAFOGO,Maternal II,0,567.0,5,0,0,5,2025,0.019417862207853187,2125526,38.83045858113753,0.04903677758318739,27.80385288966725,PPML-FE base replicado
2026,BRAS PINA,Bercario,0,725.0,5,5,0,0,2025,0.019417862207853187,2125526,142.30427689007433,0.2286096256684492,165.74197860962568,PPML-FE base replicado
2026,BRAS PINA,Maternal I,0,390.0,5,0,5,0,2025,0.019417862207853187,2125526,115.15877215886063,0.4580335731414868,178.63309352517985,PPML-FE base replicado
2026,BRAS PINA,Maternal II,0,417.0,5,0,0,5,2025,0.019417862207853187,2125526,59.789847402692835,0.1570796460176991,65.50221238938053,PPML-FE base replicado
2026,CACHAMBI,Bercario,0,556.0,5,5,0,0,2025,0.019417862207853187,2125526,71.86818786298856,0.13580246913580246,75.50617283950616,PPML-FE base replicado
2026,CACHAMBI,Maternal I,0,294.0,5,0,5,0,2025,0.019417862207853187,2125526,57.16914612449071,0.18627450980392157,54.76470588235294,PPML-FE base replicado
2026,CACHAMBI,Maternal II,0,306.0,5,0,0,5,2025,0.019417862207853187,2125526,28.893142071728004,0.05379746835443038,16.462025316455698,PPML-FE base replicado
2026,CACUIA,Bercario,0,167.0,5,5,0,0,2025,0.019417862207853187,2125526,34.40527568511986,0.18497109826589594,30.89017341040462,PPML-FE base replicado
2026,CACUIA,Maternal I,0,90.0,5,0,5,0,2025,0.019417862207853187,2125526,27.89353475480177,0.2808988764044944,25.280898876404496,PPML-FE base replicado
2026,CACUIA,Maternal II,0,89.0,5,0,0,5,2025,0.019417862207853187,2125526,13.393991575455313,0.3373493975903614,30.024096385542165,PPML-FE base replicado
2026,CAJU,Bercario,0,603.0,5,5,0,0,2025,0.019417862207853187,2125526,200.80833843439066,0.27751196172248804,167.3397129186603,PPML-FE base replicado
2026,CAJU,Maternal I,0,329.0,5,0,5,0,2025,0.019417862207853187,2125526,164.8210972116948,0.41389728096676737,136.17220543806647,PPML-FE base replicado
2026,CAJU,Maternal II,0,331.0,5,0,0,5,2025,0.019417862207853187,2125526,80.52001888473212,0.16023738872403562,53.03857566765579,PPML-FE base replicado
2026,CAMORIM,Bercario,0,55.0,5,5,0,0,2025,0.019417862207853187,2125526,34.45461001660812,0.6796116504854369,37.37864077669903,PPML-FE base replicado
2026,CAMORIM,Maternal I,0,80.0,5,0,5,0,2025,0.019417862207853187,2125526,75.39232013392039,0.34959349593495936,27.96747967479675,PPML-FE base replicado
2026,CAMORIM,Maternal II,0,123.0,5,0,0,5,2025,0.019417862207853187,2125526,56.286106015716314,0.25882352941176473,31.835294117647063,PPML-FE base replicado
2026,CAMPINHO,Bercario,0,180.0,5,5,0,0,2025,0.019417862207853187,2125526,38.807813347666006,0.22164948453608246,39.896907216494846,PPML-FE base replicado
2026,CAMPINHO,Maternal I,0,107.0,5,0,5,0,2025,0.019417862207853187,2125526,34.70427034746601,0.47,50.29,PPML-FE base replicado
2026,CAMPINHO,Maternal II,0,100.0,5,0,0,5,2025,0.019417862207853187,2125526,15.74918597843401,0.1504424778761062,15.04424778761062,PPML-FE base replicado
2026,CAMPO AFONSOS,Bercario,0,70.0,5,5,0,0,2025,0.019417862207853187,2125526,11.783840528722438,0.0410958904109589,2.8767123287671232,PPML-FE base replicado
2026,CAMPO AFONSOS,Maternal I,0,41.0,5,0,5,0,2025,0.019417862207853187,2125526,10.383054789362232,0.03225806451612903,1.3225806451612903,PPML-FE base replicado
2026,CAMPO AFONSOS,Maternal II,0,31.0,5,0,0,5,2025,0.019417862207853187,2125526,3.8120795438561736,0.10344827586206896,3.206896551724138,PPML-FE base replicado
2026,CAMPO GRANDE,Bercario,0,6911.0,5,5,0,0,2025,0.019417862207853187,2125526,2043.9703096340445,0.21254404510218464,1468.891895701198,PPML-FE base replicado
2026,CAMPO GRANDE,Maternal I,0,3685.0,5,0,5,0,2025,0.019417862207853187,2125526,1639.5461839357783,0.3648717948717949,1344.5525641025642,PPML-FE base replicado
2026,CAMPO GRANDE,Maternal II,0,3900.0,5,0,0,5,2025,0.019417862207853187,2125526,842.5772734578572,0.19133574007220217,746.2093862815884,PPML-FE base replicado
2026,CASCADURA,Bercario,0,497.0,5,5,0,0,2025,0.019417862207853187,2125526,145.48143671954836,0.20840950639853748,103.57952468007312,PPML-FE base replicado
2026,CASCADURA,Maternal I,0,293.0,5,0,5,0,2025,0.019417862207853187,2125526,129.02423281397918,0.3223684210526316,94.45394736842105,PPML-FE base replicado
