codigo_unidade,ano_previsao,demanda_prevista_inscritos,demanda_prevista_efetiva,demanda_efetiva_p025,demanda_efetiva_p975,capacidade_ano_anterior
515605,2026,,77.96606328466228,,,
10066,2026,,77.80424427306639,,,
312602,2026,,77.53282055180411,,,
918803,2026,,77.51192920462678,,,
9024,2026,,77.46851634960252,,,
5003,2026,,77.34964212712147,,,
918828,2026,,77.14473843917706,,,
10077,2026,,77.02174277073428,,,
625602,2026,,76.92157239837562,,,
918822,2026,,76.67401215103308,,,
10046,2026,,76.65228043763734,,,
9044,2026,,76.59774768280495,,,
625601,2026,,76.41663421819075,,,
10071,2026,,76.2999584048183,,,
724606,2026,,76.21861375725811,,,
430809,2026,,76.13620899342565,,,
209602,2026,,76.11100949927005,,,
625616,2026,,76.00003231761534,,,
1120603,2026,,75.85327616956826,,,
107602,2026,,75.81515441519778,,,
312805,2026,,75.74190980184108,,,
1019826,2026,,75.68721476593706,,,
2043,2026,,75.62036801155759,,,
833807,2026,,75.45593850447072,,,
10057,2026,,75.43658284020925,,,
625819,2026,,74.91057062733066,,,
4034,2026,,74.84980992741677,,,
817615,2026,,74.82811468167242,,,
817607,2026,,74.68215943167208,,,
101607,2026,,74.59035696539438,,,
918806,2026,,74.49263447111824,,,
3030,2026,,74.45184848672015,,,
205602,2026,,74.42998721951183,,,
515612,2026,,74.36160322605477,,,
3007,2026,,74.28176488612024,,,
724807,2026,,73.86211804465783,,,
724803,2026,,73.79432635589055,,,
2003,2026,,73.6598725914331,,,
2044,2026,,73.15188596941253,,,
514607,2026,,73.0083573908173,,,
8005,2026,,72.3240220487086,,,
103605,2026,,72.2965989813261,,,
1120801,2026,,72.20804653033171,,,
817608,2026,,72.12874222000183,,,
2029,2026,,72.07217141742596,,,
9023,2026,,71.94341858706667,,,
102606,2026,,71.83478662568736,,,
9030,2026,,71.7861866516576,,,
313610,2026,,71.73785178434304,,,
4032,2026,,71.70059932677427,,,
918815,2026,,71.21621191727257,,,
9009,2026,,71.20217022580722,,,
3020,2026,,71.16578038659915,,,
2055,2026,,70.87632423890491,,,
918616,2026,,70.66903952575134,,,
514606,2026,,70.46114138099551,,,
