ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,prev_modelo,p10,p90,p025,p975,alpha_nb,taxa_anterior,prev_persistencia,ano_treino_final,ano_teste
2025,CAMPO AFONSOS,Maternal II,3,29.0,4,0,0,4,3.7176647691009985,1.0,7.0,0.0,8.0,0.05349348228090407,0.16666666666666666,4.833333333333333,2024,2025
2025,CAMPO GRANDE,Bercario,1508,7095.0,4,4,0,0,1967.9765600556475,1409.0,2572.0,1176.0,2960.0,0.05349348228090407,0.23559657218193802,1671.5576796308503,2024,2025
2025,CAMPO GRANDE,Maternal I,1423,3900.0,4,0,4,0,1654.9538222999047,1185.0,2163.0,988.0,2490.0,0.05349348228090407,0.41684717208182914,1625.7039711191337,2024,2025
2025,CAMPO GRANDE,Maternal II,795,4155.0,4,0,0,4,929.0852513420465,664.0,1216.0,553.0,1400.0,0.05349348228090407,0.2565226923920193,1065.8517868888403,2024,2025
2025,CASCADURA,Bercario,114,547.0,4,4,0,0,150.84192311765793,106.0,200.0,87.0,231.0,0.05349348228090407,0.21273031825795644,116.36348408710217,2024,2025
2025,CASCADURA,Maternal I,98,304.0,4,0,4,0,128.25138672272004,89.0,170.0,73.0,197.0,0.05349348228090407,0.30952380952380953,94.0952380952381,2024,2025
2025,CASCADURA,Maternal II,66,294.0,4,0,0,4,65.35804921305038,44.0,88.0,36.0,103.0,0.05349348228090407,0.303951367781155,89.36170212765957,2024,2025
2025,CATETE,Bercario,53,332.0,4,4,0,0,50.20669945898883,34.0,68.0,27.0,80.0,0.05349348228090407,0.15743440233236153,52.268221574344025,2024,2025
2025,CATETE,Maternal I,34,174.0,4,0,4,0,40.25562635906761,27.0,55.0,21.0,65.0,0.05349348228090407,0.225,39.15,2024,2025
2025,CATETE,Maternal II,22,160.0,4,0,0,4,19.505657196971423,12.0,28.0,9.0,33.0,0.05349348228090407,0.08,12.8,2024,2025
2025,CATUMBI,Bercario,122,265.0,4,4,0,0,100.27305720355905,69.0,134.0,57.0,155.0,0.05349348228090407,0.5018181818181818,132.9818181818182,2024,2025
2025,CATUMBI,Maternal I,50,148.0,4,0,4,0,85.67494797523332,59.0,115.0,48.0,133.0,0.05349348228090407,0.39779005524861877,58.872928176795575,2024,2025
2025,CATUMBI,Maternal II,24,181.0,4,0,0,4,55.21206281992014,37.0,75.0,30.0,87.0,0.05349348228090407,0.1871345029239766,33.87134502923976,2024,2025
2025,CAVALCANTE,Bercario,76,296.0,4,4,0,0,85.70924908783437,59.0,115.0,48.0,133.0,0.05349348228090407,0.3258064516129032,96.43870967741935,2024,2025
2025,CAVALCANTE,Maternal I,69,157.0,4,0,4,0,69.54875871129646,47.0,93.0,38.0,109.0,0.05349348228090407,0.44171779141104295,69.34969325153374,2024,2025
2025,CAVALCANTE,Maternal II,40,163.0,4,0,0,4,38.048768062110994,25.0,52.0,19.0,61.0,0.05349348228090407,0.3177083333333333,51.78645833333333,2024,2025
2025,CENTRO,Bercario,123,375.0,4,4,0,0,123.1746443564555,86.0,164.0,70.0,190.0,0.05349348228090407,0.3506787330316742,131.50452488687782,2024,2025
2025,CENTRO,Maternal I,99,243.0,4,0,4,0,122.10967477416816,85.0,162.0,70.0,188.0,0.05349348228090407,0.41434262948207173,100.68525896414343,2024,2025
2025,CENTRO,Maternal II,48,251.0,4,0,0,4,66.46312954542957,45.0,89.0,36.0,104.0,0.05349348228090407,0.3025830258302583,75.94833948339483,2024,2025
2025,CIDADE DEUS,Bercario,432,1044.0,4,4,0,0,380.05406446579735,270.0,499.0,224.0,575.0,0.05349348228090407,0.38869565217391305,405.79826086956524,2024,2025
2025,CIDADE DEUS,Maternal I,421,591.0,4,0,4,0,329.1441308220719,234.0,433.0,194.0,499.0,0.05349348228090407,0.6447166921898928,381.02756508422664,2024,2025
2025,CIDADE DEUS,Maternal II,91,653.0,4,0,0,4,191.63510998845808,135.0,253.0,111.0,292.0,0.05349348228090407,0.2559055118110236,167.10629921259843,2024,2025
2025,CIDADE NOVA,Bercario,25,80.0,4,4,0,0,23.16645115944617,14.0,33.0,11.0,39.0,0.05349348228090407,0.39080459770114945,31.264367816091955,2024,2025
2025,CIDADE NOVA,Maternal I,21,46.0,4,0,4,0,20.378917267371058,12.0,29.0,9.0,35.0,0.05349348228090407,0.31666666666666665,14.566666666666666,2024,2025
2025,CIDADE NOVA,Maternal II,6,60.0,4,0,0,4,14.006763297316203,8.0,21.0,6.0,25.0,0.05349348228090407,0.18867924528301888,11.320754716981133,2024,2025
2025,CIDADE UNIVERSITARIA,Bercario,6,24.0,4,4,0,0,4.302112239652153,2.0,7.0,1.0,9.0,0.05349348228090407,0.21739130434782608,5.217391304347826,2024,2025
2025,CIDADE UNIVERSITARIA,Maternal I,1,10.0,4,0,4,0,2.7423586169587226,1.0,5.0,0.0,7.0,0.05349348228090407,0.4,4.0,2024,2025
2025,CIDADE UNIVERSITARIA,Maternal II,0,15.0,4,0,0,4,2.1675981431279046,0.0,4.0,0.0,6.0,0.05349348228090407,0.3,4.5,2024,2025
2025,COCOTA,Bercario,16,76.0,4,4,0,0,13.101050677779078,7.0,19.0,5.0,23.0,0.05349348228090407,0.16483516483516483,12.527472527472527,2024,2025
2025,COCOTA,Maternal I,20,52.0,4,0,4,0,13.713541641877532,8.0,20.0,5.0,24.0,0.05349348228090407,0.24285714285714285,12.628571428571428,2024,2025
2025,COCOTA,Maternal II,16,70.0,4,0,0,4,9.727642255799264,5.0,15.0,3.0,18.0,0.05349348228090407,0.136986301369863,9.58904109589041,2024,2025
2025,COELHO NETO,Bercario,178,557.0,4,4,0,0,209.28179586315477,148.0,276.0,122.0,319.0,0.05349348228090407,0.3193979933110368,177.9046822742475,2024,2025
2025,COELHO NETO,Maternal I,140,284.0,4,0,4,0,163.2481806581165,115.0,216.0,94.0,250.0,0.05349348228090407,0.6324503311258278,179.6158940397351,2024,2025
2025,COELHO NETO,Maternal II,96,302.0,4,0,0,4,91.47453646223185,63.0,122.0,51.0,142.0,0.05349348228090407,0.25396825396825395,76.6984126984127,2024,2025
2025,COLEGIO,Bercario,140,597.0,4,4,0,0,159.46248364447177,112.0,211.0,92.0,244.0,0.05349348228090407,0.17287630402384502,103.20715350223547,2024,2025
2025,COLEGIO,Maternal I,113,350.0,4,0,4,0,143.02303473534312,100.0,189.0,82.0,219.0,0.05349348228090407,0.3389830508474576,118.64406779661016,2024,2025
2025,COLEGIO,Maternal II,104,354.0,4,0,0,4,76.22623530138429,52.0,102.0,42.0,119.0,0.05349348228090407,0.2947976878612717,104.35838150289018,2024,2025
2025,COMPLEXO ALEMAO,Bercario,0,901.0,4,4,0,0,38.74052398448817,25.0,53.0,20.0,62.0,0.05349348228090407,0.0,0.0,2024,2025
2025,COMPLEXO ALEMAO,Maternal I,1,232.0,4,0,4,0,15.260980451766052,9.0,22.0,6.0,27.0,0.05349348228090407,0.004694835680751174,1.0892018779342723,2024,2025
2025,COMPLEXO ALEMAO,Maternal II,0,213.0,4,0,0,4,7.3830756633920105,4.0,12.0,2.0,14.0,0.05349348228090407,0.0,0.0,2024,2025
2025,COMPLEXO MARE,Bercario,566,3072.0,4,4,0,0,733.6187110369549,524.0,961.0,436.0,1106.0,0.05349348228090407,0.2246071291682637,689.9931008049061,2024,2025
2025,COMPLEXO MARE,Maternal I,412,1033.0,4,0,4,0,377.4011866510437,268.0,496.0,222.0,571.0,0.05349348228090407,0.3432080924855491,354.53395953757223,2024,2025
2025,COMPLEXO MARE,Maternal II,277,1384.0,4,0,0,4,266.4417604945269,189.0,351.0,156.0,405.0,0.05349348228090407,0.26919831223628693,372.5704641350211,2024,2025
2025,COPACABANA,Bercario,269,1575.0,4,4,0,0,229.6255151580069,162.0,303.0,134.0,349.0,0.05349348228090407,0.20804597701149424,327.67241379310343,2024,2025
2025,COPACABANA,Maternal I,219,874.0,4,0,4,0,194.94170933090024,137.0,257.0,113.0,297.0,0.05349348228090407,0.24508670520231213,214.2057803468208,2024,2025
2025,COPACABANA,Maternal II,95,865.0,4,0,0,4,101.66529127158213,70.0,135.0,57.0,157.0,0.05349348228090407,0.11467889908256881,99.19724770642202,2024,2025
2025,CORDOVIL,Bercario,194,687.0,4,4,0,0,140.77381606024602,98.0,187.0,81.0,216.0,0.05349348228090407,0.29291553133514986,201.23297002724794,2024,2025
2025,CORDOVIL,Maternal I,114,369.0,4,0,4,0,115.67653315948428,80.0,154.0,66.0,178.0,0.05349348228090407,0.35308056872037913,130.2867298578199,2024,2025
2025,CORDOVIL,Maternal II,99,422.0,4,0,0,4,69.70992471015495,48.0,94.0,38.0,109.0,0.05349348228090407,0.19339622641509435,81.61320754716982,2024,2025
2025,COSME VELHO,Bercario,25,96.0,4,4,0,0,19.94664033682304,12.0,28.0,9.0,34.0,0.05349348228090407,0.3652173913043478,35.06086956521739,2024,2025
2025,COSME VELHO,Maternal I,21,64.0,4,0,4,0,20.34380804959601,12.0,29.0,9.0,35.0,0.05349348228090407,0.38666666666666666,24.746666666666666,2024,2025
2025,COSME VELHO,Maternal II,4,75.0,4,0,0,4,12.562521078957737,7.0,19.0,5.0,23.0,0.05349348228090407,0.07608695652173914,5.7065217391304355,2024,2025
2025,COSMOS,Bercario,571,2061.0,4,4,0,0,637.8956225679684,455.0,836.0,379.0,963.0,0.05349348228090407,0.30566037735849055,629.966037735849,2024,2025
2025,COSMOS,Maternal I,465,1071.0,4,0,4,0,507.12480372491024,361.0,665.0,300.0,766.0,0.05349348228090407,0.4658493870402802,498.9246935201401,2024,2025
2025,COSMOS,Maternal II,267,1142.0,4,0,0,4,284.9408728289246,202.0,375.0,167.0,433.0,0.05349348228090407,0.23870417732310314,272.6001705029838,2024,2025
2025,COSTA BARROS,Bercario,332,801.0,4,4,0,0,307.26417015700025,218.0,404.0,180.0,466.0,0.05349348228090407,0.32742440041710114,262.266944734098,2024,2025
2025,COSTA BARROS,Maternal I,195,540.0,4,0,4,0,316.90341253916273,225.0,417.0,186.0,481.0,0.05349348228090407,0.3847583643122677,207.76951672862455,2024,2025
2025,COSTA BARROS,Maternal II,117,538.0,4,0,0,4,166.37140962613682,117.0,220.0,96.0,254.0,0.05349348228090407,0.2692307692307692,144.84615384615384,2024,2025
2025,CURICICA,Bercario,241,798.0,4,4,0,0,209.9130425017601,148.0,277.0,122.0,320.0,0.05349348228090407,0.22727272727272727,181.36363636363635,2024,2025
2025,CURICICA,Maternal I,197,695.0,4,0,4,0,279.68880817041827,198.0,368.0,164.0,425.0,0.05349348228090407,0.3317757009345794,230.5841121495327,2024,2025
2025,CURICICA,Maternal II,148,642.0,4,0,0,4,136.14088716574338,95.0,180.0,78.0,209.0,0.05349348228090407,0.250733137829912,160.97067448680352,2024,2025
2025,DEL CASTILHO,Bercario,159,457.0,4,4,0,0,105.76045957169559,73.0,141.0,60.0,163.0,0.05349348228090407,0.3146551724137931,143.79741379310343,2024,2025
2025,DEL CASTILHO,Maternal I,66,239.0,4,0,4,0,84.61722562852302,58.0,113.0,47.0,132.0,0.05349348228090407,0.3409090909090909,81.47727272727272,2024,2025
2025,DEL CASTILHO,Maternal II,39,264.0,4,0,0,4,49.25247649213398,33.0,67.0,26.0,78.0,0.05349348228090407,0.14937759336099585,39.43568464730291,2024,2025
2025,DEODORO,Bercario,80,236.0,4,4,0,0,93.48119414216647,65.0,125.0,52.0,145.0,0.05349348228090407,0.26523297491039427,62.59498207885305,2024,2025
2025,DEODORO,Maternal I,63,157.0,4,0,4,0,95.1405488812111,66.0,127.0,53.0,147.0,0.05349348228090407,0.5075757575757576,79.68939393939394,2024,2025
2025,DEODORO,Maternal II,33,132.0,4,0,0,4,42.150545158971056,28.0,58.0,22.0,68.0,0.05349348228090407,0.31851851851851853,42.044444444444444,2024,2025
2025,ENCANTADO,Bercario,39,188.0,4,4,0,0,35.967917114237224,23.0,50.0,18.0,58.0,0.05349348228090407,0.17391304347826086,32.69565217391304,2024,2025
