unidade,nome_unidade_norm,demanda_2026_ppml,demanda_2026_persistencia,demanda_2026_ppml_historico,limite_p025_condicional,limite_p975_condicional,codigo_unidade,interesse_bruto_2025,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_total,fila_total,prev_ppml_base_2025,prev_persistencia_2025,prev_ppml_cag_fem_2025,tem_contexto_creche_2025
10083,CP CRECHE COMUNITARIA CRISTA CORDEIRINHO DE CRISTO,35.62221894054313,34.42387230018232,14.368237152969032,21.16030847563639,53.70062807363061,10083,116,continuante,Parceira,Creche Parceira,10.0,10.18,GUARATIBA,-22.95184,-43.60696,40.0,4.0,235.96470104428184,284.07279249887563,227.30210161758288,True
02031,CP CENTRO COMUNITARIO ALEGRIA DAS CRIANCAS,35.52511307761583,44.84057025405308,26.056314983181704,19.860918993234222,55.17073779710935,2031,86,continuante,Parceira,Creche Parceira,2.0,2.6,ROCINHA,-22.99096626,-43.24934773,88.0,1.0,59.88891789201324,70.78836576832823,57.659320094770045,True
1019630,CM ESTRELA DALVA,35.406255884679055,36.6115233060315,67.38441860575819,21.099630112015912,53.3020235431339,1019630,69,continuante,Pública,Creche,10.0,10.6,Santa Cruz,-22.911519,-43.667708,47.0,0.0,66.28431201223694,81.82031887508069,59.381491940244544,True
0918801,EDI BIANCA ROCHA TAVARES,35.30735571745318,30.377094297151533,124.8777011179561,20.911174262620445,53.30215525360359,918801,153,continuante,Pública,EDI,9.0,9.23,Cosmos,-22.917448,-43.618065,106.0,0.0,217.77776462808657,193.0591793681679,195.08355454737992,True
0514604,CM ESTRELINHA DOURADA,35.29650521521489,31.580259599795227,37.175468742028634,20.342805191173134,54.014748199438074,514604,80,continuante,Pública,Creche,5.0,5.4,Irajá,-22.824322,-43.326431,46.0,0.0,152.31060278888262,119.51282532315156,136.44056943067125,True
1120602,CM CORA CORALINA,35.266456891066376,29.369774065467876,140.88653651373522,17.98094004315269,56.971716029931805,1120602,274,continuante,Pública,Creche,11.0,11.4,Ilha do Governador,-22.796641,-43.190965,143.0,27.0,307.454888817259,310.73334584019403,275.4128978570729,True
10013,CP ESCOLA COMUNITARIA ENCANTO DE MARIA,35.194721778483725,37.82398121699482,17.870044470555627,19.887818162430545,54.25101484714637,10013,53,continuante,Parceira,Creche Parceira,10.0,10.11,SANTA CRUZ,-22.98837,-43.63944,66.0,0.0,50.12771305952725,58.83708323601308,48.25485335619771,True
1019804,EDI PROFESSORA MARIA LUIZA JOBIM DE QUEIROZ,35.152148852068535,35.87095978032493,55.17504643583213,20.640755204257335,53.28009250453503,1019804,55,continuante,Pública,EDI,10.0,10.23,Sepetiba,-22.97679,-43.694065,46.0,0.0,56.95601751982585,57.91775381045038,51.02555831395922,True
03017,CP CRECHE TERNURINHA,35.1455130108864,26.829649785124978,17.588072922911287,19.55134846901789,54.636284205204674,3017,43,continuante,Parceira,Creche Parceira,3.0,3.3,LINS DE VASCONCELOS,-22.91426861,-43.27635515,41.0,1.0,52.37734332446853,61.5950715127012,50.42226297447405,True
0918829,EDI RUBEM AZEVEDO ALVES,35.12073163260048,29.468878721730665,39.42163452236261,20.781660713658063,53.071202799327885,918829,143,continuante,Pública,EDI,9.0,9.9,Inhoaíba,-22.89705,-43.5925,96.0,0.0,106.80908424290028,99.28757796077208,95.68204338178518,True
