ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista,gap_demanda_oferta,prioridade_modelo
2025,724603,Creche Municipal Benedita Siqueira Lopes,Pública,Creche,7.0,7.24,Estrada Da Barra Da Tijuca - Tijuquinha 3837,Barra da Tijuca,-22.98716,-43.307461,94.0,0.0,24.0,70.0,4.0,0.0,0.0,35.0,0.0,33.0,2.0,37.234042553191486,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,1019607,Creche Municipal Adalto Bastos,Pública,Creche,10.0,10.18,"Estrada Santa Efigênia, S/Nº - Jardim Sete De Abril",Paciência,-22.927505,-43.634912,48.0,0.0,24.0,24.0,2.0,0.0,0.0,35.0,0.0,4.0,31.0,72.91666666666667,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,817801,Espaço de Desenvolvimento Infantil Professora Tânia Maria Larrubia Gomes,Pública,EDI,8.0,8.9,Rua Mongólia s/nº,Bangu,-22.888872,-43.470733,187.0,25.0,92.0,70.0,8.0,0.0,0.0,34.0,34.0,0.0,0.0,18.181818181818183,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,622804,Espaço de Desenvolvimento Infantil Medalhista Paralímpico Daniel Martins,Pública,EDI,6.0,6.13,"Rua Gênova, 199",Ricardo de Albuquerque,-22.834977,-43.393545,142.0,48.0,48.0,46.0,6.0,0.0,0.0,34.0,8.0,22.0,4.0,23.943661971830984,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,312602,Creche Municipal Engenho da Rainha,Pública,Creche,3.0,3.16,Rua Pereira Pinto 191,Engenho Da Rainha,-22.86946,-43.299954,98.0,26.0,26.0,46.0,4.0,0.0,0.0,34.0,19.0,15.0,0.0,34.69387755102041,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,5013,CP CENTRO EDUCACIONAL SOMAR,Parceira,Creche Parceira,5.0,5.13,"RUA CAROLINA MACHADO,1670",BENTO RIBEIRO,-22.86338415,-43.36411183,44.0,0.0,22.0,22.0,0.0,44.0,0.0,34.0,0.0,18.0,16.0,77.27272727272727,Mais de 75 por 100 matriculados,Maio de 2025,,,
2025,514609,Creche Municipal Parque Bom Menino,Pública,Creche,5.0,5.8,Avenida Monsenhor Félix 418,Irajá,-22.849166,-43.324973,87.0,16.0,46.0,25.0,4.0,0.0,0.0,33.0,32.0,0.0,1.0,37.93103448275862,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,7020,CP JARDIM ESCOLA CRESCENDO E APRENDENDO,Parceira,Creche Parceira,7.0,7.17,"AV. DAS ALAGOAS, 755, CANAL ESPERANÇA, 23",JACAREPAGUÁ,-22.95829,-43.35315,77.0,11.0,16.0,50.0,0.0,80.0,0.0,33.0,29.0,4.0,0.0,42.857142857142854,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,716610,Creche Municipal Tia Malu,Pública,Creche,7.0,7.8,"Estrada Do Rio Grande, 4.470",Taquara,-22.918418,-43.410069,63.0,0.0,18.0,45.0,3.0,0.0,0.0,33.0,0.0,33.0,0.0,52.38095238095238,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,625604,Creche Municipal Herbert de Souza - Betinho,Pública,Creche,6.0,6.7,"Rua Macabu, 55",Coelho Neto,-22.83664,-43.348239,195.0,50.0,74.0,71.0,8.0,0.0,0.0,32.0,29.0,0.0,3.0,16.41025641025641,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,918837,Espaço de Desenvolvimento Infantil Medalhista Olímpico Wallace Leandro de Souza,Pública,EDI,9.0,9.2,"Rua José Otávio Correa Lima, (antiga Rua Jornalista Samuel Wainer, S/Nº Reconstrução da EM Samuel Wainer) - PAL 33.584",Santíssimo,-22.870428,-43.51129,194.0,47.0,73.0,74.0,8.0,0.0,0.0,31.0,20.0,1.0,10.0,15.97938144329897,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,514602,Creche Municipal Jeciá de Freitas Ferreira,Pública,Creche,5.0,5.3,Praça Nossa Senhora da Apresentação 298 comunidade,Irajá,-22.831074,-43.327411,140.0,48.0,46.0,46.0,6.0,0.0,0.0,31.0,31.0,0.0,0.0,22.142857142857142,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,716608,Creche Municipal Irmã Dulce,Pública,Creche,7.0,7.3,"Rua Comandante Luiz Souto, S/Nº - Mato Alto",Praça Seca,-22.900935,-43.362466,140.0,25.0,48.0,67.0,6.0,0.0,0.0,31.0,31.0,0.0,0.0,22.142857142857142,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,2048,CP LAR CANTINHO FELIZ,Parceira,Creche Parceira,2.0,2.15,"RUA TORRES HOMEM, 1024",VILA ISABEL,-22.91503469,-43.25269838,109.0,25.0,40.0,44.0,0.0,110.0,0.0,31.0,22.0,2.0,7.0,28.440366972477065,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,6013,CP CRECHE COMUNITÁRIA AQUARELA,Parceira,Creche Parceira,6.0,6.18,"RUA ELZO FERREIRA, 129",PARQUE ANCHIETA,-22.83706,-43.41045,100.0,25.0,26.0,49.0,0.0,103.0,0.0,31.0,17.0,13.0,1.0,31.0,25 a 75 por 100 matriculados,Maio de 2025,,,
